startdate,enddate,ticker
31-03-2020,30-06-2020,DABUR.NS
31-03-2020,30-06-2020,DALMIASUG.NS
31-03-2020,30-06-2020,DAMODARIND.NS
31-03-2020,30-06-2020,DATAMATICS.NS
31-03-2020,30-06-2020,DBCORP.NS
31-03-2020,30-06-2020,DBL.NS
31-03-2020,30-06-2020,DBREALTY.NS
31-03-2020,30-06-2020,DCAL.NS
31-03-2020,30-06-2020,DCBBANK.NS
31-03-2020,30-06-2020,DCM.NS
31-03-2020,30-06-2020,DCMSHRIRAM.NS
31-03-2020,30-06-2020,DCW.NS
31-03-2020,30-06-2020,DECCANCE.NS
31-03-2020,30-06-2020,DEEPAKFERT.NS
31-03-2020,30-06-2020,DEEPAKNTR.NS
31-03-2020,30-06-2020,DELTACORP.NS
31-03-2020,30-06-2020,DELTAMAGNT.NS
31-03-2020,30-06-2020,DEN.NS
31-03-2020,30-06-2020,DENORA.NS
31-03-2020,30-06-2020,DFMFOODS.NS
31-03-2020,30-06-2020,DHAMPURSUG.NS
31-03-2020,30-06-2020,DHANBANK.NS
31-03-2020,30-06-2020,DHANUKA.NS
31-03-2020,30-06-2020,DHARSUGAR.NS
31-03-2020,30-06-2020,DHFL.NS
31-03-2020,30-06-2020,DHUNINV.NS
31-03-2020,30-06-2020,DIAMONDYD.NS
31-03-2020,30-06-2020,DICIND.NS
31-03-2020,30-06-2020,DISHTV.NS
31-03-2020,30-06-2020,DIVISLAB.NS
31-03-2020,30-06-2020,DIXON.NS
31-03-2020,30-06-2020,DLF.NS
31-03-2020,30-06-2020,DLINKINDIA.NS
31-03-2020,30-06-2020,DMART.NS
31-03-2020,30-06-2020,DOLLAR.NS
31-03-2020,30-06-2020,DONEAR.NS
31-03-2020,30-06-2020,DPSCLTD.NS
31-03-2020,30-06-2020,DQE.NS
31-03-2020,30-06-2020,DREDGECORP.NS
31-03-2020,30-06-2020,DRREDDY.NS
31-03-2020,30-06-2020,DSSL.NS
31-03-2020,30-06-2020,DTIL.NS
31-03-2020,30-06-2020,DWARKESH.NS
31-03-2020,30-06-2020,DYNAMATECH.NS
31-03-2020,30-06-2020,EASTSILK.NS
31-03-2020,30-06-2020,ECLERX.NS
31-03-2020,30-06-2020,EDELWEISS.NS
31-03-2020,30-06-2020,EICHERMOT.NS
31-03-2020,30-06-2020,EIDPARRY.NS
31-03-2020,30-06-2020,EIHAHOTELS.NS
31-03-2020,30-06-2020,EIHOTEL.NS
31-03-2020,30-06-2020,EIMCOELECO.NS
31-03-2020,30-06-2020,EKC.NS
31-03-2020,30-06-2020,ELECON.NS
31-03-2020,30-06-2020,ELECTCAST.NS
31-03-2020,30-06-2020,ELECTHERM.NS
31-03-2020,30-06-2020,ELGIEQUIP.NS
31-03-2020,30-06-2020,ELGIRUBCO.NS
31-03-2020,30-06-2020,EMAMILTD.NS
31-03-2020,30-06-2020,EMKAY.NS
31-03-2020,30-06-2020,EMMBI.NS
31-03-2020,30-06-2020,ENDURANCE.NS
31-03-2020,30-06-2020,ENERGYDEV.NS
31-03-2020,30-06-2020,ENGINERSIN.NS
31-03-2020,30-06-2020,ENIL.NS
31-03-2020,30-06-2020,EQUITAS.NS
31-03-2020,30-06-2020,ERIS.NS
31-03-2020,30-06-2020,EROSMEDIA.NS
31-03-2020,30-06-2020,ESABINDIA.NS
31-03-2020,30-06-2020,ESCORTS.NS
31-03-2020,30-06-2020,ESSARSHPNG.NS
31-03-2020,30-06-2020,ESTER.NS
31-03-2020,30-06-2020,EUROMULTI.NS
31-03-2020,30-06-2020,EUROTEXIND.NS
31-03-2020,30-06-2020,EVEREADY.NS
31-03-2020,30-06-2020,EVERESTIND.NS
31-03-2020,30-06-2020,EXCEL.NS
31-03-2020,30-06-2020,EXCELINDUS.NS
31-03-2020,30-06-2020,EXIDEIND.NS
31-03-2020,30-06-2020,FACT.NS
31-03-2020,30-06-2020,FCL.NS
31-03-2020,30-06-2020,FCONSUMER.NS
31-03-2020,30-06-2020,FDC.NS
31-03-2020,30-06-2020,FEDERALBNK.NS
31-03-2020,30-06-2020,FEL.NS
31-03-2020,30-06-2020,FELDVR.NS
31-03-2020,30-06-2020,FIEMIND.NS
31-03-2020,30-06-2020,FINPIPE.NS
31-03-2020,30-06-2020,FLEXITUFF.NS
31-03-2020,30-06-2020,FLFL.NS
31-03-2020,30-06-2020,FMGOETZE.NS
31-03-2020,30-06-2020,FMNL.NS
31-03-2020,30-06-2020,FORTIS.NS
31-03-2020,30-06-2020,FOSECOIND.NS
31-03-2020,30-06-2020,FRETAIL.NS
31-03-2020,30-06-2020,FSL.NS
31-03-2020,30-06-2020,GABRIEL.NS
31-03-2020,30-06-2020,GAEL.NS
31-03-2020,30-06-2020,GAIL.NS
31-03-2020,30-06-2020,GAL.NS
31-03-2020,30-06-2020,GAMMNINFRA.NS
31-03-2020,30-06-2020,GANDHITUBE.NS
31-03-2020,30-06-2020,GANECOS.NS
31-03-2020,30-06-2020,GANESHHOUC.NS
31-03-2020,30-06-2020,GARDENSILK.NS
31-03-2020,30-06-2020,GATI.NS
31-03-2020,30-06-2020,GAYAPROJ.NS
31-03-2020,30-06-2020,GDL.NS
31-03-2020,30-06-2020,GEECEE.NS
31-03-2020,30-06-2020,GENESYS.NS
31-03-2020,30-06-2020,GENUSPAPER.NS
31-03-2020,30-06-2020,GENUSPOWER.NS
