startdate,enddate,ticker,changelist
31-03-2020,30-06-2020,CCHHL.NS,-26.315789803903854
31-03-2020,30-06-2020,CCL.NS,13.198299448627399
31-03-2020,30-06-2020,CDSL.NS,78.99890393527306
31-03-2020,30-06-2020,CEATLTD.NS,2.945009261729983
31-03-2020,30-06-2020,CEBBCO.NS,41.12903659971411
31-03-2020,30-06-2020,CELEBRITY.NS,-11.214951688373453
31-03-2020,30-06-2020,CENTENKA.NS,-3.2500033908420143
31-03-2020,30-06-2020,CENTEXT.NS,-31.73076764366325
31-03-2020,30-06-2020,CENTRALBK.NS,-15.52631980494449
31-03-2020,30-06-2020,CENTUM.NS,1.985555480994871
31-03-2020,30-06-2020,CENTURYPLY.NS,38.81032474182243
31-03-2020,30-06-2020,CENTURYTEX.NS,11.33711260152132
31-03-2020,30-06-2020,CERA.NS,2.8296642991063483
31-03-2020,30-06-2020,CEREBRAINT.NS,3.9007037034081073
31-03-2020,30-06-2020,CESC.NS,0.7667473769168685
31-03-2020,30-06-2020,CGCL.NS,42.437496185302734
31-03-2020,30-06-2020,CGPOWER.NS,156.1403407015362
31-03-2020,30-06-2020,CHAMBLFERT.NS,7.108011810621734
31-03-2020,30-06-2020,CHENNPETRO.NS,-13.13506675956818
31-03-2020,30-06-2020,CHOLAFIN.NS,25.872539172908787
31-03-2020,30-06-2020,CHROMATIC.NS,-26.315789803903854
31-03-2020,30-06-2020,CIGNITITEC.NS,42.709804542083326
31-03-2020,30-06-2020,CINELINE.NS,17.879423205065915
31-03-2020,30-06-2020,CIPLA.NS,19.57712372808888
31-03-2020,30-06-2020,CLEDUCATE.NS,83.26746153764965
31-03-2020,30-06-2020,CLNINDIA.NS,-14.23076923076923
